Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2014-03-02,2014,Mirpur,Pakistan,1.0,3.0,5.0,11.0,0.0,0.0,45.45,caught,0
2014-03-05,2014,Mirpur,Afghanistan,2.0,,,,,,,-,0
2014-08-27,2014,Cardiff,England,1.0,3.0,0.0,3.0,0.0,0.0,0.0,caught,0
2014-08-30,2014,Nottingham,England,2.0,3.0,40.0,50.0,2.0,1.0,80.0,caught,0
2014-09-02,2014,Birmingham,England,2.0,3.0,1.0,3.0,0.0,0.0,33.33,not out,1
2014-09-05,2014,Leeds,England,2.0,3.0,13.0,21.0,2.0,0.0,61.9,caught,0
2014-10-08,2014,Kochi,West Indies,2.0,3.0,2.0,5.0,0.0,0.0,40.0,caught,0
2014-10-11,2014,Delhi,West Indies,1.0,4.0,62.0,78.0,5.0,0.0,79.48,caught,0
2014-10-17,2014,Dharamsala,West Indies,1.0,3.0,127.0,114.0,13.0,3.0,111.4,run out,0
2014-11-02,2014,Cuttack,Sri Lanka,1.0,4.0,22.0,21.0,2.0,0.0,104.76,caught,0
2014-11-06,2014,Ahmedabad,Sri Lanka,2.0,4.0,49.0,44.0,2.0,2.0,111.36,caught,0
2014-11-09,2014,Hyderabad,Sri Lanka,2.0,4.0,53.0,61.0,4.0,1.0,86.88,caught,0
2014-11-13,2014,Eden Gardens,Sri Lanka,1.0,4.0,66.0,64.0,6.0,0.0,103.12,run out,0
2014-11-16,2014,Ranchi,Sri Lanka,2.0,4.0,139.0,126.0,12.0,3.0,110.31,not out,1
2015-01-18,2015,Melbourne,Australia,1.0,4.0,9.0,16.0,0.0,0.0,56.25,caught,0
2015-01-20,2015,Brisbane,England,1.0,4.0,4.0,8.0,0.0,0.0,50.0,caught,0
2015-01-26,2015,Sydney,Australia,1.0,4.0,3.0,9.0,0.0,0.0,33.33,not out,1
2015-01-30,2015,W.A.C.A,England,1.0,3.0,8.0,19.0,0.0,0.0,42.1,caught,0
2015-02-15,2015,Adelaide,Pakistan,1.0,3.0,107.0,126.0,8.0,0.0,84.92,caught,0
2015-02-22,2015,Melbourne,South Africa,1.0,3.0,46.0,60.0,3.0,0.0,76.66,caught,0
2015-02-28,2015,W.A.C.A,U.A.E.,2.0,3.0,33.0,41.0,5.0,0.0,80.48,not out,1
2015-03-06,2015,W.A.C.A,West Indies,2.0,3.0,33.0,36.0,5.0,0.0,91.66,caught,0
2015-03-10,2015,Hamilton,Ireland,2.0,3.0,44.0,42.0,4.0,1.0,104.76,not out,1
2015-03-14,2015,Auckland,Zimbabwe,2.0,3.0,38.0,48.0,4.0,0.0,79.16,bowled,0
2015-03-19,2015,Melbourne,Bangladesh,1.0,3.0,3.0,8.0,0.0,0.0,37.5,caught,0
2015-03-26,2015,Sydney,Australia,2.0,3.0,1.0,13.0,0.0,0.0,7.69,caught,0
2015-06-18,2015,Mirpur,Bangladesh,2.0,3.0,1.0,4.0,0.0,0.0,25.0,caught,0
2015-06-21,2015,Mirpur,Bangladesh,1.0,3.0,23.0,27.0,3.0,1.0,85.18,lbw,0
2015-06-24,2015,Mirpur,Bangladesh,1.0,3.0,25.0,35.0,1.0,0.0,71.42,bowled,0
2015-10-11,2015,Kanpur,South Africa,2.0,4.0,11.0,18.0,0.0,0.0,61.11,caught,0
2015-10-14,2015,Indore,South Africa,1.0,4.0,12.0,18.0,0.0,0.0,66.66,run out,0
2015-10-18,2015,Rajkot,South Africa,2.0,3.0,77.0,99.0,5.0,0.0,77.77,caught,0
2015-10-22,2015,Chennai,South Africa,1.0,3.0,138.0,140.0,6.0,5.0,98.57,caught,0
2015-10-25,2015,Wankhede,South Africa,2.0,3.0,7.0,6.0,0.0,1.0,116.66,caught,0
2016-01-12,2016,W.A.C.A,Australia,1.0,3.0,91.0,97.0,9.0,1.0,93.81,caught,0
2016-01-15,2016,Brisbane,Australia,1.0,3.0,59.0,67.0,4.0,0.0,88.05,run out,0
2016-01-17,2016,Melbourne,Australia,1.0,3.0,117.0,117.0,7.0,2.0,100.0,caught,0
2016-01-20,2016,Canberra,Australia,2.0,3.0,106.0,92.0,11.0,1.0,115.21,caught,0
2016-01-23,2016,Sydney,Australia,2.0,3.0,8.0,11.0,1.0,0.0,72.72,caught,0
2016-10-16,2016,Dharamsala,New Zealand,2.0,3.0,85.0,81.0,9.0,1.0,104.93,not out,1
2016-10-20,2016,Delhi,New Zealand,2.0,3.0,9.0,13.0,1.0,0.0,69.23,caught,0
2016-10-23,2016,Mohali,New Zealand,2.0,3.0,154.0,134.0,16.0,1.0,114.92,not out,1
2016-10-26,2016,Ranchi,New Zealand,2.0,3.0,45.0,51.0,2.0,1.0,88.23,caught,0
2016-10-29,2016,Visakhapatnam,New Zealand,1.0,3.0,65.0,76.0,2.0,1.0,85.52,caught,0
2017-01-15,2017,Pune,England,2.0,3.0,122.0,105.0,8.0,5.0,116.19,caught,0
2017-01-19,2017,Cuttack,England,1.0,3.0,8.0,5.0,2.0,0.0,160.0,caught,0
2017-01-22,2017,Eden Gardens,England,2.0,3.0,55.0,63.0,8.0,0.0,87.3,caught,0
2017-06-04,2017,Birmingham,Pakistan,1.0,3.0,81.0,68.0,6.0,3.0,119.11,not out,1
2017-06-08,2017,The Oval,Sri Lanka,1.0,3.0,0.0,5.0,0.0,0.0,0.0,caught,0
2017-06-11,2017,The Oval,South Africa,2.0,3.0,76.0,101.0,7.0,1.0,75.24,not out,1
2017-06-15,2017,Birmingham,Bangladesh,2.0,3.0,96.0,78.0,13.0,0.0,123.07,not out,1
2017-06-18,2017,The Oval,Pakistan,2.0,3.0,5.0,9.0,0.0,0.0,55.55,caught,0
2017-06-23,2017,Port of Spain,West Indies,1.0,3.0,32.0,47.0,1.0,0.0,68.08,not out,1
2017-06-25,2017,Port of Spain,West Indies,1.0,3.0,87.0,66.0,4.0,4.0,131.81,caught,0
2017-06-30,2017,North Sound,West Indies,1.0,3.0,11.0,22.0,2.0,0.0,50.0,caught,0
2017-07-02,2017,North Sound,West Indies,2.0,3.0,3.0,12.0,0.0,0.0,25.0,caught,0
2017-07-06,2017,Kingston,West Indies,2.0,3.0,111.0,115.0,12.0,2.0,96.52,not out,1
2017-08-20,2017,Dambulla,Sri Lanka,2.0,3.0,82.0,70.0,10.0,1.0,117.14,not out,1
2017-08-24,2017,Pallekele,Sri Lanka,2.0,5.0,4.0,2.0,1.0,0.0,200.0,bowled,0
2017-08-27,2017,Pallekele,Sri Lanka,2.0,3.0,3.0,11.0,0.0,0.0,27.27,caught,0
2017-08-31,2017,Colombo (RPS),Sri Lanka,1.0,3.0,131.0,96.0,17.0,2.0,136.45,caught,0
2017-09-03,2017,Colombo (RPS),Sri Lanka,2.0,3.0,110.0,116.0,9.0,0.0,94.82,not out,1
2017-09-17,2017,Chennai,Australia,1.0,3.0,0.0,4.0,0.0,0.0,0.0,caught,0
2017-09-21,2017,Eden Gardens,Australia,1.0,3.0,92.0,107.0,8.0,0.0,85.98,bowled,0
2017-09-24,2017,Indore,Australia,2.0,3.0,28.0,35.0,2.0,0.0,80.0,caught,0
2017-09-28,2017,Bengaluru,Australia,2.0,3.0,21.0,21.0,3.0,0.0,100.0,bowled,0
